N err_left err_right err_midpoint err_trapezoid err_Simpsons
4 8.482594320086e-02 9.349197421787e-02 2.169872098616e-03 4.333015508510e-03 3.525843964214e-05
10 3.497150715085e-02 3.635565981664e-02 3.461245949099e-04 6.920763328921e-04 9.201277834103e-07
24 1.473970737811e-02 1.497994552501e-02 6.006214305643e-05 1.201190734529e-04 2.779211727422e-08
50 7.105042494611e-03 7.160390898888e-03 1.383723943538e-05 2.767420213856e-05 1.475797040129e-09
100 3.559439867023e-03 3.573276829726e-03 3.459249323767e-06 6.918481351481e-06 9.224410124631e-11
250 1.425436385433e-03 1.427650293267e-03 5.534771801985e-07 1.106953916863e-06 2.361333351075e-12
500 7.129949313061e-04 7.135484080438e-04 1.383691983214e-07 2.767383688873e-07 1.477706845776e-13
1000 3.565666502524e-04 3.567050194224e-04 3.459229358516e-08 6.918458506089e-08 9.214851104389e-15
5000 7.132439958335e-05 7.132993435155e-05 1.383691272672e-09 2.767384099656e-09 1.110223024625e-16
10000 3.566289164103e-05 3.566427532642e-05 3.459219577451e-10 6.918425832225e-10 5.551115123126e-16
